name,description,price,category,image_url,stock
Graffiti T-Shirt,Bold graffiti design on premium cotton,32.00,t-shirts,images/product1.jpg,50
Urban Tag Tee,Street art inspired graphic tee,30.00,t-shirts,images/product2.jpg,45
Street Art Shirt,Vibrant spray paint design,28.00,t-shirts,images/product3.jpg,60
Chrome Tag Tee,Metallic chrome graffiti print,35.00,t-shirts,images/product4.jpg,40
Fresh Drop Tee,New arrival limited edition,33.00,t-shirts,images/new1.jpg,30
Spray Paint Shirt,Multi-color graffiti artwork,31.00,t-shirts,images/new2.jpg,35
Purple Haze Tee,Pearlescent purple design,34.00,t-shirts,images/product5.jpg,25
Orange Burst Shirt,Bold orange graffiti style,29.00,t-shirts,images/product6.jpg,55
Black Tag Hoodie,Premium hoodie with tag design,65.00,hoodies,images/hoodie1.jpg,20
Urban Crew Neck,Classic crew with street art,45.00,sweatshirts,images/crew1.jpg,30
